Date,Funds,Portfolio,Rebalance,Buys,Sells,Strategy
2021-03-25 23:55:49.751250,102.1047571353,"{'AAVE-USD': 0.0, 'ADA-USD': 0.0, 'ALGO-USD': 0.0, 'ATOM-USD': 0.0, 'BAL-USD': 0.0, 'BAND-USD': 0.0, 'BCH-USD': 0.0, 'BNT-USD': 0.0, 'BTC-USD': 0.0, 'CGLD-USD': 0.0, 'COMP-USD': 0.0, 'DASH-USD': 0.0, 'EOS-USD': 0.0, 'ETC-USD': 0.0, 'ETH-USD': 0.0, 'FIL-USD': 0.8531607639452817, 'GRT-USD': 0.0, 'KNC-USD': 0.0, 'LINK-USD': 0.0, 'LRC-USD': 0.0, 'LTC-USD': 0.0, 'MATIC-USD': 0.0, 'MKR-USD': 0.0, 'NMR-USD': 0.0, 'NU-USD': 0.0, 'OMG-USD': 0.0, 'OXT-USD': 0.07702873226149504, 'REN-USD': 0.0, 'REP-USD': 0.0, 'SKL-USD': 0.0, 'SNX-USD': 0.0, 'SUSHI-USD': 0.0, 'UMA-USD': 0.0, 'UNI-USD': 0.0, 'WBTC-USD': 0.0, 'XLM-USD': 0.0, 'XTZ-USD': 0.0, 'YFI-USD': 0.0, 'ZEC-USD': 0.0, 'ZRX-USD': 0.0, 'USD-USD': 0.06981050379322326}",1.0,{'REP-USD': 0.2204758594277762},{'USD-USD': 7.127984535300004},maxSharpeRatioOld
2021-03-26 00:55:44.048235,101.19433789250002,"{'AAVE-USD': 0.0, 'ADA-USD': 0.0, 'ALGO-USD': 0.0, 'ATOM-USD': 0.0, 'BAL-USD': 0.0, 'BAND-USD': 0.0, 'BCH-USD': 0.0, 'BNT-USD': 0.0, 'BTC-USD': 0.0, 'CGLD-USD': 0.0, 'COMP-USD': 0.0, 'DASH-USD': 0.0, 'EOS-USD': 0.0, 'ETC-USD': 0.0, 'ETH-USD': 0.0, 'FIL-USD': 0.8551501181017522, 'GRT-USD': 0.0, 'KNC-USD': 0.0, 'LINK-USD': 0.0, 'LRC-USD': 0.0, 'LTC-USD': 0.0, 'MATIC-USD': 0.0, 'MKR-USD': 0.0, 'NMR-USD': 0.0, 'NU-USD': 0.0, 'OMG-USD': 0.0, 'OXT-USD': 0.033282494555949046, 'REN-USD': 0.0, 'REP-USD': 0.08966676623388925, 'SKL-USD': 0.0, 'SNX-USD': 0.0, 'SUSHI-USD': 0.0, 'UMA-USD': 0.0, 'UNI-USD': 0.0, 'WBTC-USD': 0.0, 'XLM-USD': 0.0, 'XTZ-USD': 0.0, 'YFI-USD': 0.0, 'ZEC-USD': 0.0, 'ZRX-USD': 0.0, 'USD-USD': 0.02190062110840941}",1.0,{'REP-USD': 0.282408459304527},{'OXT-USD': 13.470581647052342},maxSharpeRatioOld
2021-03-26 01:55:23.661373,101.19433789250002,"{'AAVE-USD': 0.0, 'ADA-USD': 0.0, 'ALGO-USD': 0.0, 'ATOM-USD': 0.0, 'BAL-USD': 0.0, 'BAND-USD': 0.0, 'BCH-USD': 0.0, 'BNT-USD': 0.0, 'BTC-USD': 0.0, 'CGLD-USD': 0.0, 'COMP-USD': 0.0, 'DASH-USD': 0.0, 'EOS-USD': 0.0, 'ETC-USD': 0.0, 'ETH-USD': 0.0, 'FIL-USD': 0.8551501181017522, 'GRT-USD': 0.0, 'KNC-USD': 0.0, 'LINK-USD': 0.0, 'LRC-USD': 0.0, 'LTC-USD': 0.0, 'MATIC-USD': 0.0, 'MKR-USD': 0.0, 'NMR-USD': 0.0, 'NU-USD': 0.0, 'OMG-USD': 0.0, 'OXT-USD': 0.033282494555949046, 'REN-USD': 0.0, 'REP-USD': 0.08966676623388925, 'SKL-USD': 0.0, 'SNX-USD': 0.0, 'SUSHI-USD': 0.0, 'UMA-USD': 0.0, 'UNI-USD': 0.0, 'WBTC-USD': 0.0, 'XLM-USD': 0.0, 'XTZ-USD': 0.0, 'YFI-USD': 0.0, 'ZEC-USD': 0.0, 'ZRX-USD': 0.0, 'USD-USD': 0.02190062110840941}",0.0,{},{},maxSharpeRatioOld
2021-03-26 02:55:27.507749,101.3590066325,"{'AAVE-USD': 0.0, 'ADA-USD': 0.0, 'ALGO-USD': 0.0, 'ATOM-USD': 0.0, 'BAL-USD': 0.0, 'BAND-USD': 0.0, 'BCH-USD': 0.0, 'BNT-USD': 0.0, 'BTC-USD': 0.0, 'CGLD-USD': 0.0, 'COMP-USD': 0.0, 'DASH-USD': 0.0, 'EOS-USD': 0.0, 'ETC-USD': 0.0, 'ETH-USD': 0.0, 'FIL-USD': 0.85213763403543, 'GRT-USD': 0.0, 'KNC-USD': 0.0, 'LINK-USD': 0.0, 'LRC-USD': 0.0, 'LTC-USD': 0.0, 'MATIC-USD': 0.0, 'MKR-USD': 0.0, 'NMR-USD': 0.0, 'NU-USD': 0.0, 'OMG-USD': 0.0, 'OXT-USD': 0.03555678098806865, 'REN-USD': 0.0, 'REP-USD': 0.09044054381113757, 'SKL-USD': 0.0, 'SNX-USD': 0.0, 'SUSHI-USD': 0.0, 'UMA-USD': 0.0, 'UNI-USD': 0.0, 'WBTC-USD': 0.0, 'XLM-USD': 0.0, 'XTZ-USD': 0.0, 'YFI-USD': 0.0, 'ZEC-USD': 0.0, 'ZRX-USD': 0.0, 'USD-USD': 0.02186504116536385}",0.0,{},{},maxSharpeRatioOld
2021-03-26 03:55:26.737594,102.0172002725,"{'AAVE-USD': 0.0, 'ADA-USD': 0.0, 'ALGO-USD': 0.0, 'ATOM-USD': 0.0, 'BAL-USD': 0.0, 'BAND-USD': 0.0, 'BCH-USD': 0.0, 'BNT-USD': 0.0, 'BTC-USD': 0.0, 'CGLD-USD': 0.0, 'COMP-USD': 0.0, 'DASH-USD': 0.0, 'EOS-USD': 0.0, 'ETC-USD': 0.0, 'ETH-USD': 0.0, 'FIL-USD': 0.8523421900202784, 'GRT-USD': 0.0, 'KNC-USD': 0.0, 'LINK-USD': 0.0, 'LRC-USD': 0.0, 'LTC-USD': 0.0, 'MATIC-USD': 0.0, 'MKR-USD': 0.0, 'NMR-USD': 0.0, 'NU-USD': 0.0, 'OMG-USD': 0.0, 'OXT-USD': 0.03544010216260172, 'REN-USD': 0.0, 'REP-USD': 0.09049373532443997, 'SKL-USD': 0.0, 'SNX-USD': 0.0, 'SUSHI-USD': 0.0, 'UMA-USD': 0.0, 'UNI-USD': 0.0, 'WBTC-USD': 0.0, 'XLM-USD': 0.0, 'XTZ-USD': 0.0, 'YFI-USD': 0.0, 'ZEC-USD': 0.0, 'ZRX-USD': 0.0, 'USD-USD': 0.021723972492679836}",0.0,{},{},maxSharpeRatioOld
2021-03-26 04:55:24.982182,102.0172002725,"{'AAVE-USD': 0.0, 'ADA-USD': 0.0, 'ALGO-USD': 0.0, 'ATOM-USD': 0.0, 'BAL-USD': 0.0, 'BAND-USD': 0.0, 'BCH-USD': 0.0, 'BNT-USD': 0.0, 'BTC-USD': 0.0, 'CGLD-USD': 0.0, 'COMP-USD': 0.0, 'DASH-USD': 0.0, 'EOS-USD': 0.0, 'ETC-USD': 0.0, 'ETH-USD': 0.0, 'FIL-USD': 0.8523421900202784, 'GRT-USD': 0.0, 'KNC-USD': 0.0, 'LINK-USD': 0.0, 'LRC-USD': 0.0, 'LTC-USD': 0.0, 'MATIC-USD': 0.0, 'MKR-USD': 0.0, 'NMR-USD': 0.0, 'NU-USD': 0.0, 'OMG-USD': 0.0, 'OXT-USD': 0.03544010216260172, 'REN-USD': 0.0, 'REP-USD': 0.09049373532443997, 'SKL-USD': 0.0, 'SNX-USD': 0.0, 'SUSHI-USD': 0.0, 'UMA-USD': 0.0, 'UNI-USD': 0.0, 'WBTC-USD': 0.0, 'XLM-USD': 0.0, 'XTZ-USD': 0.0, 'YFI-USD': 0.0, 'ZEC-USD': 0.0, 'ZRX-USD': 0.0, 'USD-USD': 0.021723972492679836}",0.0,{},{},maxSharpeRatioOld
2021-03-26 05:55:27.808963,104.3332566925,"{'AAVE-USD': 0.0, 'ADA-USD': 0.0, 'ALGO-USD': 0.0, 'ATOM-USD': 0.0, 'BAL-USD': 0.0, 'BAND-USD': 0.0, 'BCH-USD': 0.0, 'BNT-USD': 0.0, 'BTC-USD': 0.0, 'CGLD-USD': 0.0, 'COMP-USD': 0.0, 'DASH-USD': 0.0, 'EOS-USD': 0.0, 'ETC-USD': 0.0, 'ETH-USD': 0.0, 'FIL-USD': 0.7253007564311923, 'GRT-USD': 0.0, 'KNC-USD': 0.0, 'LINK-USD': 0.0, 'LRC-USD': 0.0, 'LTC-USD': 0.0, 'MATIC-USD': 0.0, 'MKR-USD': 0.0, 'NMR-USD': 0.0, 'NU-USD': 0.0, 'OMG-USD': 0.0, 'OXT-USD': 0.033512804170439996, 'REN-USD': 0.0, 'REP-USD': 0.08859316897623928, 'SKL-USD': 0.0, 'SNX-USD': 0.0, 'SUSHI-USD': 0.0, 'UMA-USD': 0.0, 'UNI-USD': 0.0, 'WBTC-USD': 0.0, 'XLM-USD': 0.0, 'XTZ-USD': 0.0, 'YFI-USD': 0.0, 'ZEC-USD': 0.0, 'ZRX-USD': 0.0, 'USD-USD': 0.1525932704221285}",1.0,{'USD-USD': 13.420016020241274},{'FIL-USD': 0.1399230113673368},maxSharpeRatioOld
2021-03-26 06:55:47.231809,107.3958834555,"{'AAVE-USD': 0.0, 'ADA-USD': 0.0, 'ALGO-USD': 0.0, 'ATOM-USD': 0.0, 'BAL-USD': 0.0, 'BAND-USD': 0.0, 'BCH-USD': 0.0, 'BNT-USD': 0.0, 'BTC-USD': 0.0, 'CGLD-USD': 0.0, 'COMP-USD': 0.0, 'DASH-USD': 0.0, 'EOS-USD': 0.0, 'ETC-USD': 0.0, 'ETH-USD': 0.0, 'FIL-USD': 0.8911460795390355, 'GRT-USD': 0.0, 'KNC-USD': 0.0, 'LINK-USD': 0.0, 'LRC-USD': 0.0, 'LTC-USD': 0.0, 'MATIC-USD': 0.0, 'MKR-USD': 0.0, 'NMR-USD': 0.0, 'NU-USD': 0.0, 'OMG-USD': 0.0, 'OXT-USD': 0.03181220629760584, 'REN-USD': 0.0, 'REP-USD': 0.01059187636806711, 'SKL-USD': 0.0, 'SNX-USD': 0.0, 'SUSHI-USD': 0.0, 'UMA-USD': 0.0, 'UNI-USD': 0.0, 'WBTC-USD': 0.0, 'XLM-USD': 0.0, 'XTZ-USD': 0.0, 'YFI-USD': 0.0, 'ZEC-USD': 0.0, 'ZRX-USD': 0.0, 'USD-USD': 0.06644983779529144}",1.0,{'FIL-USD': 0.1656292785327202},{'REP-USD': 0.5148435084083253},maxSharpeRatioOld
2021-03-26 07:55:26.666318,106.6545184755,"{'AAVE-USD': 0.0, 'ADA-USD': 0.0, 'ALGO-USD': 0.0, 'ATOM-USD': 0.0, 'BAL-USD': 0.0, 'BAND-USD': 0.0, 'BCH-USD': 0.0, 'BNT-USD': 0.0, 'BTC-USD': 0.0, 'CGLD-USD': 0.0, 'COMP-USD': 0.0, 'DASH-USD': 0.0, 'EOS-USD': 0.0, 'ETC-USD': 0.0, 'ETH-USD': 0.0, 'FIL-USD': 0.8903061385234466, 'GRT-USD': 0.0, 'KNC-USD': 0.0, 'LINK-USD': 0.0, 'LRC-USD': 0.0, 'LTC-USD': 0.0, 'MATIC-USD': 0.0, 'MKR-USD': 0.0, 'NMR-USD': 0.0, 'NU-USD': 0.0, 'OMG-USD': 0.0, 'OXT-USD': 0.03213647250010644, 'REN-USD': 0.0, 'REP-USD': 0.01064565248832677, 'SKL-USD': 0.0, 'SNX-USD': 0.0, 'SUSHI-USD': 0.0, 'UMA-USD': 0.0, 'UNI-USD': 0.0, 'WBTC-USD': 0.0, 'XLM-USD': 0.0, 'XTZ-USD': 0.0, 'YFI-USD': 0.0, 'ZEC-USD': 0.0, 'ZRX-USD': 0.0, 'USD-USD': 0.06691173648812017}",0.0,{},{},maxSharpeRatioOld
2021-03-26 08:55:38.826569,108.5802829055,"{'AAVE-USD': 0.0, 'ADA-USD': 0.0, 'ALGO-USD': 0.0, 'ATOM-USD': 0.0, 'BAL-USD': 0.0, 'BAND-USD': 0.0, 'BCH-USD': 0.0, 'BNT-USD': 0.0, 'BTC-USD': 0.0, 'CGLD-USD': 0.0, 'COMP-USD': 0.0, 'DASH-USD': 0.0, 'EOS-USD': 0.0, 'ETC-USD': 0.0, 'ETH-USD': 0.0, 'FIL-USD': 0.8901802879268792, 'GRT-USD': 0.0, 'KNC-USD': 0.0, 'LINK-USD': 0.0, 'LRC-USD': 0.0, 'LTC-USD': 0.0, 'MATIC-USD': 0.0, 'MKR-USD': 0.0, 'NMR-USD': 0.0, 'NU-USD': 0.0, 'OMG-USD': 0.0, 'OXT-USD': 0.03356963071437501, 'REN-USD': 0.0, 'REP-USD': 0.010525081897185885, 'SKL-USD': 0.0, 'SNX-USD': 0.0, 'SUSHI-USD': 0.0, 'UMA-USD': 0.0, 'UNI-USD': 0.0, 'WBTC-USD': 0.0, 'XLM-USD': 0.0, 'XTZ-USD': 0.0, 'YFI-USD': 0.0, 'ZEC-USD': 0.0, 'ZRX-USD': 0.0, 'USD-USD': 0.06572499946155981}",0.0,{},{},maxSharpeRatioOld
2021-03-26 09:11:52.291377,108.98432891549999,"{'AAVE-USD': 0.0, 'ADA-USD': 0.0, 'ALGO-USD': 0.0, 'ATOM-USD': 0.0, 'BAL-USD': 0.0, 'BAND-USD': 0.0, 'BCH-USD': 0.0, 'BNT-USD': 0.0, 'BTC-USD': 0.0, 'CGLD-USD': 0.0, 'COMP-USD': 0.0, 'DASH-USD': 0.0, 'EOS-USD': 0.0, 'ETC-USD': 0.0, 'ETH-USD': 0.0, 'FIL-USD': 0.8907347777978896, 'GRT-USD': 0.0, 'KNC-USD': 0.0, 'LINK-USD': 0.0, 'LRC-USD': 0.0, 'LTC-USD': 0.0, 'MATIC-USD': 0.0, 'MKR-USD': 0.0, 'NMR-USD': 0.0, 'NU-USD': 0.0, 'OMG-USD': 0.0, 'OXT-USD': 0.03330754096595381, 'REN-USD': 0.0, 'REP-USD': 0.01047634913534451, 'SKL-USD': 0.0, 'SNX-USD': 0.0, 'SUSHI-USD': 0.0, 'UMA-USD': 0.0, 'UNI-USD': 0.0, 'WBTC-USD': 0.0, 'XLM-USD': 0.0, 'XTZ-USD': 0.0, 'YFI-USD': 0.0, 'ZEC-USD': 0.0, 'ZRX-USD': 0.0, 'USD-USD': 0.06548133210081214}",0.0,{},{},maxSharpeRatioOld
